2moro
2nte
AEAP
ALAP
ASAP
B3
B4YKI
BFF
BM&Y
BRB
BRT
BTAM
C-P
CTN
CUS
CWOT
CYT
E123
EM?
F2F
FC
FOAF
GR8
HAK
ILU
ILY
IMU
IRL
JK
JC
JTLYK
KFY
KMN
KPC
L8R
MoF
MTFBWY
MYOB
N-A-Y-L
NAZ
NC
NIMBY
NM
NP
NSFW
NTIM
NVM
OATUS
OIC
OMW
OTL
OTP
P911
PAL
PAW
PIR
POS
PROP(S)
RN
RU
SEP
SITD
SLAP
SMIM
TMI
W8
WB
WYCM
WYWH
XOXOXOX
POV
ASL
