lmao
lol
rofl
btw
asap
tomoro
2nite
tonite
yup
yep
nope
k
ilu
kk
kkk
okies
kay
u
w
thx
tnx
thanx
y
dis
der
wer
wher
yo
duh
lul
4u
dunno
dun
2day
omg
wru
omw
iou
idc
idk
smh
tbh
imo
imho
plz
pls
ma
lolz
